label::Português (pt-BR)	Português	label::English (en)	label::Español (es)		hint::Português (pt-BR)	hint::English (en)	hint::Español (es)
## <span style=”color:red”>Colocou a fita para a equipe de coleta?</span>	## <span style="color:red">Colocou a fita para a equipe de coleta?</span>	## <span style="color:red">Did you place the tape for the collection team?</span>	## <span style="color:red">¿Colocó la cinta para el equipo de colección?</span>				
							
							
							
###Confirme informações da ávore ${num_tag}:	###Confirme informações da ávore ${num_tag}:	###Confirm information for tree ${num_tag}:	###Confirme información del árbol ${num_tag}:				
							
							
							
							
							
							
							
							
### Tipo de observação:   <span style=”color:red”> ${treetype_label} ${tagdead_label}</span>	### Tipo de observação:   <span style="color:red"> ${treetype_label} ${tagdead_label}</span>	### Type of observation:   <span style="color:red"> ${treetype_label} ${tagdead_label}</span>	### Tipo de observación:   <span style="color:red"> ${treetype_label} ${tagdead_label}</span>				
### Número da placa: <span style=”color:red”>${num_tag}</span>	### Número da placa: <span style="color:red">${num_tag}</span>	### Tag number: <span style="color:red">${num_tag}</span>	### Número de placa: <span style="color:red">${num_tag}</span>		#### Placa censo anterior: ${tree_tag}		
### Mapeamento:  <span style=”color:red”> ${sel_subquad} (${map_final})</span>	### Mapeamento:  <span style="color:red"> ${sel_subquad} (${map_final})</span>	### Mapping:  <span style="color:red"> ${sel_subquad} (${map_final})</span>	### Mapeo:  <span style="color:red"> ${sel_subquad} (${map_final})</span>		#### Coordenadas anteriores: ${old_quad}: x = ${old_dx}; y = ${old_dy}		
### Diametro do fuste principal (mm):  <span style=”color:red”>${dap_final} </span>	### Diametro do fuste principal (mm):  <span style="color:red">${dap_final} </span>	### Main stem diameter (mm):  <span style="color:red">${dap_final} </span>	### Diámetro del fuste principal (mm):  <span style="color:red">${dap_final} </span>		#### Dap anterior: ${old_dap}		
### Altura (m):  <span style=”color:red”> ${alt_final}</span>	### Altura (m):  <span style="color:red"> ${alt_final}</span>	### Height (m):  <span style="color:red"> ${alt_final}</span>	### Altura (m):  <span style="color:red"> ${alt_final}</span>		#### Altura anterior: ${old_alt}		
### Identificação: <span style=”color:red”> ${sp_final} (${fam_final})</span>	### Identificação: <span style="color:red"> ${sp_final} (${fam_final})</span>	### Identification: <span style="color:red"> ${sp_final} (${fam_final})</span>	### Identificación: <span style="color:red"> ${sp_final} (${fam_final})</span>		#### Identificação anterior:  ${old_sp} (${old_fam})		
### Tipo de identificação: ${id_type_name}  ${det_type}  ${indet_type}	### Tipo de identificação: ${id_type_name}  ${det_type}  ${indet_type}	### Identification type: ${id_type_name}  ${det_type}  ${indet_type}	### Tipo de identificación: ${id_type_name}  ${det_type}  ${indet_type}				
Observações adicionais (<span style=”color:red”> arv # ${num_tag}</span>):	Observações adicionais (<span style="color:red"> arv # ${num_tag}</span>):	Additional observations (<span style="color:red"> tree # ${num_tag}</span>):	Observaciones adicionales (<span style="color:red"> árbol # ${num_tag}</span>):		<span style=”color:red”> NÃO UTILIZE ASPAS, CARACTERES ESPECIAIS OU ACENTOS</span>		
Foto da planta ${num_tag}	Foto da planta ${num_tag}	Plant photo ${num_tag}	Foto de la planta ${num_tag}				
Foto da planta ${num_tag}	Foto da planta ${num_tag}	Plant photo ${num_tag}	Foto de la planta ${num_tag}				
Foto da planta ${num_tag}	Foto da planta ${num_tag}	Plant photo ${num_tag}	Foto de la planta ${num_tag}				
Foto da planta ${num_tag}	Foto da planta ${num_tag}	Plant photo ${num_tag}	Foto de la planta ${num_tag}				
Foto da planta ${num_tag}	Foto da planta ${num_tag}	Plant photo ${num_tag}	Foto de la planta ${num_tag}				
							
							
							
							
							
							
							
### A árvore ${num_tag} está morta	### A árvore ${num_tag} está morta	### Tree ${num_tag} is dead	### El árbol ${num_tag} está muerto				
### Confirme as informações:	### Confirme as informações:	### Confirm the information:	### Confirme la información:		Caso as informações não estejam corretas, clique no icone <span style=”color:red”> seta.ponto </span> e ajuste os dados.		
### Não há informação sobre o número da <span style=”color:red”> placa </span>	### Não há informação sobre o número da <span style="color:red"> placa </span>	### No information about the <span style="color:red"> tag </span> number	### No hay información sobre el número de la <span style="color:red"> placa </span>				
### Não há informação sobre a <span style=”color:red”> altura </span>	### Não há informação sobre a <span style="color:red"> altura </span>	### No information about the <span style="color:red"> height </span>	### No hay información sobre la <span style="color:red"> altura </span>				
### Não há informação sobre o <span style=”color:red”> dap </span>	### Não há informação sobre o <span style="color:red"> dap </span>	### No information about the <span style="color:red"> dbh </span>	### No hay información sobre el <span style="color:red"> dap </span>				
							
							
							
							
							
							
Árvores desaparecidas	Árvores desaparecidas	Missing trees	Árboles desaparecidos				
							
							
							
							
							
### Árvores encontradas ${n_sel} de ${n_tags} listadas. 	### Árvores encontradas ${n_sel} de ${n_tags} listadas. 	### Trees found ${n_sel} of ${n_tags} listed. 	### Árboles encontrados ${n_sel} de ${n_tags} listados.		Árvores no subquadrat: ${tags_subq}; encontradas: ${tag_selected}		
							
							
Árvores não encontradas	Árvores não encontradas	Trees not found	Árboles no encontrados				
							
							
							
Confirme árvore perdida	Confirme árvore perdida	Confirm lost tree	Confirme árbol perdido				
							
							
							
							
### Selecione a placa (<span style=”color:red”>${miss_num}</span>) no mapa 	### Selecione a placa (<span style="color:red">${miss_num}</span>) no mapa 	### Select the tag (<span style="color:red">${miss_num}</span>) on the map 	### Seleccione la placa (<span style="color:red">${miss_num}</span>) en el mapa 				
### Dados da árvore <span style=”color:red”>${miss_num}</span> -  ${old_sp_miss} (${old_fam_miss}):	### Dados da árvore <span style="color:red">${miss_num}</span> -  ${old_sp_miss} (${old_fam_miss}):	### Data for tree <span style="color:red">${miss_num}</span> -  ${old_sp_miss} (${old_fam_miss}):	### Datos del árbol <span style="color:red">${miss_num}</span> -  ${old_sp_miss} (${old_fam_miss}):		### dap: ${old_dap_miss} mm; altura: ${old_alt_miss} m		
### Confirme que a árvore não foi encontrada:	### Confirme que a árvore não foi encontrada:	### Confirm that the tree was not found:	### Confirme que el árbol no fue encontrado:				
							
							
Árvore encontrada	Árvore encontrada	Tree found	Árbol encontrado				
### A árvore está viva?	### A árvore está viva?	### Is the tree alive?	### ¿El árbol está vivo?				
### Qual o tipo de evidência da morte?	### Qual o tipo de evidência da morte?	### What type of death evidence?	### ¿Cuál es el tipo de evidencia de muerte?				
### A placa está em boas condições?	### A placa está em boas condições?	### Is the tag in good condition?	### ¿La placa está en buenas condiciones?		A placa está legível e bem fixada (Não será trocada).		
							
							
							
							
							
							
							
							
							
							
### Confirme o mapeamento:	### Confirme o mapeamento:	### Confirm mapping:	### Confirme el mapeo:		## Coordenas na parcela ${quadrat}: x = ${old_dx_miss}  e y = ${old_dy_miss}		
							
							
Replaqueada	Replaqueada	Retagged	Replaqued				
## Número da placa nova sem o valor do ano (${tag_dig} dígitos)	## Número da placa nova sem o valor do ano (${tag_dig} dígitos)	## New tag number without the year value (${tag_dig} digits)	## Número de placa nueva sin el valor del año (${tag_dig} dígitos)				
							
							
Foto da nova placa	Foto da nova placa	Photo of new tag	Foto de la placa nueva		Tire uma foto da placa junto ao tronco da árvore, se possível junto a placa antiga.		
							
							
							
### Selecione o local da árvore (<span style=”color:red”>${miss_num}</span>) no mapa 	### Selecione o local da árvore (<span style="color:red">${miss_num}</span>) no mapa 	### Select the tree location (<span style="color:red">${miss_num}</span>) on the map 	### Seleccione la ubicación del árbol (<span style="color:red">${miss_num}</span>) en el mapa 		Selecione a posição:		
							
## selecionado: <span style=”color:red”>${mapxy_miss} </span>	## selecionado: <span style="color:red">${mapxy_miss} </span>	## selected: <span style="color:red">${mapxy_miss} </span>	## seleccionado: <span style="color:red">${mapxy_miss} </span>				
							
							
							
Selecione o estrato de altura da árvore	Selecione o estrato de altura da árvore	Select the tree height stratum	Seleccione el estrato de altura del árbol				
###Anote a altura da árvore 	###Anote a altura da árvore 	###Record the tree height 	###Anote la altura del árbol				
### se a altura é <span style=”color:red”>até 10m</span> 	### se a altura é <span style="color:red">até 10m</span> 	### if height is <span style="color:red">up to 10m</span> 	### si la altura es <span style="color:red">hasta 10m</span>		#### placa antiga ${miss_num}, altura no censo anterior: ${old_alt_miss} m		
### se a altura é <span style=”color:red”>mais de 10m</span> 	### se a altura é <span style="color:red">mais de 10m</span> 	### if height is <span style="color:red">more than 10m</span> 	### si la altura es <span style="color:red">más de 10m</span>		#### placa antiga ${miss_num}, altura no censo anterior: ${old_alt_miss} m		
							
							
Selecione o método utilizado para tomar a altura:	Selecione o método utilizado para tomar a altura:	Select the method used to measure height:	Seleccione el método utilizado para medir la altura:				
							
### Há inconsistência no valor da altura em relação ao censo anterior! Refaça a medida no campo abaixo:	### Há inconsistência no valor da altura em relação ao censo anterior! Refaça a medida no campo abaixo:	### There is inconsistency in the height value compared to previous census! Redo the measurement in the field below:	### ¡Hay inconsistencia en el valor de la altura respecto al censo anterior! Rehaga la medida en el campo de abajo:		#### altura no censo anterior: ${old_alt_miss} m		
Anote a altura se a árvore tem <span style=”color:red”>até 10m</span>   	Anote a altura se a árvore tem <span style="color:red">até 10m</span>   	Record height if tree is <span style="color:red">up to 10m</span>   	Anote la altura si el árbol tiene <span style="color:red">hasta 10m</span>		#### placa antiga ${miss_num}, altura no censo anterior: ${old_alt_miss} m		
<span style=”color:red”>mais de 10m</span> 	<span style="color:red">mais de 10m</span> 	<span style="color:red">more than 10m</span> 	<span style="color:red">más de 10m</span>				
							
### Possível causa da discrepância de medidas (censo anterior = <span style=”color:red”>${old_alt_miss}</span>):	### Possível causa da discrepância de medidas (censo anterior = <span style="color:red">${old_alt_miss}</span>):	### Possible cause of measurement discrepancy (previous census = <span style="color:red">${old_alt_miss}</span>):	### Posible causa de la discrepancia de medidas (censo anterior = <span style="color:red">${old_alt_miss}</span>):		### A primeira medida foi <span style=”color:red”>${alt_new_miss}</span> e a checagem <span style=”color:red”>${alt_new_check_miss}</span>		
### Evidência na discrepância de medida (<span style=”color:red”>${old_alt_miss}</span>):	### Evidência na discrepância de medida (<span style="color:red">${old_alt_miss}</span>):	### Evidence in measurement discrepancy (<span style="color:red">${old_alt_miss}</span>):	### Evidencia en la discrepancia de medida (<span style="color:red">${old_alt_miss}</span>):		### A primeira medida foi <span style=”color:red”>${alt_new_miss}</span> e a checagem <span style=”color:red”>${alt_new_check_miss}</span>		
							
### Confirme o valor da altura (censo anterior = <span style=”color:red”>${old_alt_miss}</span>)	### Confirme o valor da altura (censo anterior = <span style="color:red">${old_alt_miss}</span>)	### Confirm the height value (previous census = <span style="color:red">${old_alt_miss}</span>)	### Confirme el valor de la altura (censo anterior = <span style="color:red">${old_alt_miss}</span>)		### A primeira medida foi <span style=”color:red”>${alt_new_miss}</span> e a checagem <span style=”color:red”>${alt_new_check_miss}</span>		
							
							
							
Medida de DAP	Medida de DAP	DBH measurement	Medida de DAP				
### Anote o dap ou pap conforme o tipo de medida. 	### Anote o dap ou pap conforme o tipo de medida. 	### Record dbh or pbh according to measurement type. 	### Anote el dap o pap según el tipo de medida.		### Dap do fuste principal: ${old_dap_miss} mm		
### Anote se a altura da medida de dap for diferente de 1,3m 	### Anote se a altura da medida de dap for diferente de 1,3m 	### Note if the dbh measurement height is different from 1.3m 	### Anote si la altura de la medida de dap es diferente de 1,3m		#### placa ${num_tag}, pom no censo anterior: ${old_pom} m		
### Selecione a razão do ponto de medida ser diferente:	### Selecione a razão do ponto de medida ser diferente:	### Select the reason for different measurement point:	### Seleccione la razón del punto de medida diferente:				
### Tipo de medida que será tomada:	### Tipo de medida que será tomada:	### Type of measurement to be taken:	### Tipo de medida que se tomará:				
							
### DAP  em <span style=”color:red”>mm</span>	### DAP  em <span style="color:red">mm</span>	### DBH in <span style="color:red">mm</span>	### DAP en <span style="color:red">mm</span>		#### dap no censo anterior: (${old_dap_miss}) mm  		
### DAP  em <span style=”color:red”>cm </span> :	### DAP  em <span style="color:red">cm </span> :	### DBH in <span style="color:red">cm </span> :	### DAP en <span style="color:red">cm </span> :		#### dap no censo anterior: (${old_dbhcm_miss}) cm  		
### PAP  em <span style=”color:red”>cm </span> :	### PAP  em <span style="color:red">cm </span> :	### PBH in <span style="color:red">cm </span> :	### PAP en <span style="color:red">cm </span> :		#### pap no censo anterior: (${old_papcm_miss}) cm  		
							
							
							
							
## Árvore com um fuste?	## Árvore com um fuste?	## Tree with one stem?	## ¿Árbol con un fuste?		### Número de fustes no censo anterior: ${old_nfuste_miss}		
## Confirma que só há um fuste?	## Confirma que só há um fuste?	## Confirm there is only one stem?	## ¿Confirma que solo hay un fuste?		### No censo anterior a planta <span style=”color:red”>${miss_num}</span> tinha ${old_nfuste_miss}		
							
							
### Há inconsistência no valor do dap ou pap, refaça a medida no campo abaixo!	### Há inconsistência no valor do dap ou pap, refaça a medida no campo abaixo!	### There is inconsistency in the dbh or pbh value, redo the measurement in the field below!	### ¡Hay inconsistencia en el valor del dap o pap, rehaga la medida en el campo de abajo!		Placa censo anterior: ${miss_num}		
### O dap medido (${dap_new_miss}) é menor que o critério de inclusão ( ${min_dbh})	### O dap medido (${dap_new_miss}) é menor que o critério de inclusão ( ${min_dbh})	### The measured dbh (${dap_new_miss}) is less than the inclusion criterion ( ${min_dbh})	### El dap medido (${dap_new_miss}) es menor que el criterio de inclusión ( ${min_dbh})				
checagem da DAP, refaça a medida em <span style=”color:red”>mm</span>	checagem da DAP, refaça a medida em <span style="color:red">mm</span>	DBH check, redo measurement in <span style="color:red">mm</span>	verificación del DAP, rehaga la medida en <span style="color:red">mm</span>		#### dap no censo anterior: (${old_dap_miss}) mm  		
checagem de DAP <span style=”color:red”>cm </span> :	checagem de DAP <span style="color:red">cm </span> :	DBH check <span style="color:red">cm </span> :	verificación de DAP <span style="color:red">cm </span> :		#### dap no censo anterior: (${old_dbhcm_miss}) cm  		
checagem de PAP, refaça a medida  em <span style=”color:red”>cm </span> :	checagem de PAP, refaça a medida  em <span style="color:red">cm </span> :	PBH check, redo measurement in <span style="color:red">cm </span> :	verificación de PAP, rehaga la medida en <span style="color:red">cm </span> :		#### pap no censo anterior: (${old_papcm_miss}) cm  		
							
							
### Possível causa da discrepância nas medidas (censo anterior = <span style=”color:red”>${old_dap_miss}</span> mm):	### Possível causa da discrepância nas medidas (censo anterior = <span style="color:red">${old_dap_miss}</span> mm):	### Possible cause of measurement discrepancy (previous census = <span style="color:red">${old_dap_miss}</span> mm):	### Posible causa de la discrepancia en las medidas (censo anterior = <span style="color:red">${old_dap_miss}</span> mm):		### A primeira medida foi <span style=”color:red”>${dap_new_miss}</span> e a checagem foi <span style=”color:red”>${dap_new_check_miss}</span>		
Evidência na discrepância no crescimento:	Evidência na discrepância no crescimento:	Evidence in growth discrepancy:	Evidencia en la discrepancia de crecimiento:		### O dap passou de <span style=”color:red”>${old_dap_miss}</span> para <span style=”color:red”>${dap_new_check_miss}</span>		
### Confirme a remedição de dap (censo anterior = <span style=”color:red”>${old_dap_miss}</span> mm)	### Confirme a remedição de dap (censo anterior = <span style="color:red">${old_dap_miss}</span> mm)	### Confirm dbh remeasurement (previous census = <span style="color:red">${old_dap_miss}</span> mm)	### Confirme la remedición de dap (censo anterior = <span style="color:red">${old_dap_miss}</span> mm)		### A medida inicial de <span style=”color:red”>${dap_new_miss}</span> passou para <span style=”color:red”>${dap_new_check_miss}</span>		
### Confirme que a medida de dap é menor que o critério de inclusão.	### Confirme que a medida de dap é menor que o critério de inclusão.	### Confirm that the dbh measurement is less than the inclusion criterion.	### Confirme que la medida de dap es menor que el criterio de inclusión.		### A medida inicial de <span style=”color:red”>${dap_new_miss}</span> e a checagem <span style=”color:red”>${dap_new_check_miss}</span>		
							
							
							
							
							
Múltiplos fustes	Múltiplos fustes	Multiple stems	Múltiples fustes				
Fuste número: 	Fuste número: 	Stem number: 	Fuste número: 				
### Anote o fuste em sequência decrescente de tamanho. 	### Anote o fuste em sequência decrescente de tamanho. 	### Record stems in decreasing size order. 	### Anote el fuste en secuencia decreciente de tamaño.		### Dap do fuste principal: <span style=”color:red”>${dap_new_miss}</span> mm		
### Anote se a altura da medida de dap for diferente de 1,3m 	### Anote se a altura da medida de dap for diferente de 1,3m 	### Note if the dbh measurement height is different from 1.3m 	### Anote si la altura de la medida de dap es diferente de 1,3m		#### placa antiga ${miss_num}, pom no censo anterior: ${old_pom_miss} m		
### Selecione a razão do ponto de medida ser diferente:	### Selecione a razão do ponto de medida ser diferente:	### Select the reason for different measurement point:	### Seleccione la razón del punto de medida diferente:				
Tipo de medida do fuste que será tomada:	Tipo de medida do fuste que será tomada:	Type of stem measurement to be taken:	Tipo de medida del fuste que se tomará:				
Medida de paquímetro (fuste secundário no. ${mult_fuste_seq_miss}) <span style=”color:red”>mm</span>:	Medida de paquímetro (fuste secundário no. ${mult_fuste_seq_miss}) <span style="color:red">mm</span>:	Caliper measurement (secondary stem no. ${mult_fuste_seq_miss}) <span style="color:red">mm</span>:	Medida de paquímetro (fuste secundario no. ${mult_fuste_seq_miss}) <span style="color:red">mm</span>:				
Medida fita diamétrica (fuste secundário no. ${mult_fuste_seq_miss}) em <span style=”color:red”>cm</span>:	Medida fita diamétrica (fuste secundário no. ${mult_fuste_seq_miss}) em <span style="color:red">cm</span>:	Diametric tape measurement (secondary stem no. ${mult_fuste_seq_miss}) in <span style="color:red">cm</span>:	Medida cinta diamétrica (fuste secundario no. ${mult_fuste_seq_miss}) en <span style="color:red">cm</span>:				
Medida perímetro com fita métrica (fuste secundário no. ${mult_fuste_seq_miss}) em <span style=”color:red”>cm</span>:	Medida perímetro com fita métrica (fuste secundário no. ${mult_fuste_seq_miss}) em <span style="color:red">cm</span>:	Perimeter measurement with metric tape (secondary stem no. ${mult_fuste_seq_miss}) in <span style="color:red">cm</span>:	Medida perímetro con cinta métrica (fuste secundario no. ${mult_fuste_seq_miss}) en <span style="color:red">cm</span>:				
Selecione o estrato de altura do fuste	Selecione o estrato de altura do fuste	Select the stem height stratum	Seleccione el estrato de altura del fuste				
###Anote a altura do  fuste no. ${mult_fuste_seq_miss}	###Anote a altura do  fuste no. ${mult_fuste_seq_miss}	###Record the height of stem no. ${mult_fuste_seq_miss}	###Anote la altura del fuste no. ${mult_fuste_seq_miss}				
### se a altura é <span style=”color:red”>até 10m</span> 	### se a altura é <span style="color:red">até 10m</span> 	### if height is <span style="color:red">up to 10m</span> 	### si la altura es <span style="color:red">hasta 10m</span>				
### se a altura é <span style=”color:red”>mais de 10m</span> 	### se a altura é <span style="color:red">mais de 10m</span> 	### if height is <span style="color:red">more than 10m</span> 	### si la altura es <span style="color:red">más de 10m</span>				
							
Selecione o método utilizado para tomar a altura:	Selecione o método utilizado para tomar a altura:	Select the method used to measure height:	Seleccione el método utilizado para medir la altura:				
							
							
							
## Selecione o motivo do número de fustes (n = <span style=”color:red”>${new_nfuste_miss} </span>)  ser diferente do censo anterior (n = <span style=”color:red”>${old_nfuste_miss} </span>)	## Selecione o motivo do número de fustes (n = <span style="color:red">${new_nfuste_miss} </span>)  ser diferente do censo anterior (n = <span style="color:red">${old_nfuste_miss} </span>)	## Select the reason why the number of stems (n = <span style="color:red">${new_nfuste_miss} </span>) is different from previous census (n = <span style="color:red">${old_nfuste_miss} </span>)	## Seleccione el motivo del número de fustes (n = <span style="color:red">${new_nfuste_miss} </span>) sea diferente del censo anterior (n = <span style="color:red">${old_nfuste_miss} </span>)				
### ${miss_num}: ${old_sp_miss} (${old_fam_miss})	### ${miss_num}: ${old_sp_miss} (${old_fam_miss})	### ${miss_num}: ${old_sp_miss} (${old_fam_miss})	### ${miss_num}: ${old_sp_miss} (${old_fam_miss})		### Confirme Identificação da árvore 		
							
Identificação Botânica	Identificação Botânica	Botanical Identification	Identificación Botánica				
## Selecione uma familia	## Selecione uma familia	## Select a family	## Seleccione una familia				
## Selecione um gênero (${new_fam_miss})	## Selecione um gênero (${new_fam_miss})	## Select a genus (${new_fam_miss})	## Seleccione un género (${new_fam_miss})				
## Selecione uma espécie (${new_gen_miss})	## Selecione uma espécie (${new_gen_miss})	## Select a species (${new_gen_miss})	## Seleccione una especie (${new_gen_miss})				
## Tipo de identificação em campo:	## Tipo de identificação em campo:	## Type of field identification:	## Tipo de identificación en campo:				
Selecione uma das opções da indeterminação da espécie.	Selecione uma das opções da indeterminação da espécie.	Select one of the species indeterminacy options.	Seleccione una de las opciones de indeterminación de la especie.				
${miss_num} é similar a espécie da árvore:	${miss_num} é similar a espécie da árvore:	${miss_num} is similar to tree species:	${miss_num} es similar a la especie del árbol:		Caso tenha algum indivíduo similar nas proximidades digite o número da placa.		
Apelido do morfotipo:	Apelido do morfotipo:	Morphotype nickname:	Apodo del morfotipo:				
Foto do indivíduo ${miss_num}	Foto do indivíduo ${miss_num}	Photo of individual ${miss_num}	Foto del individuo ${miss_num}		Tire uma foto do ramo com folhas, se possível mostrando o número da placa.		
Foto da planta ${miss_num}	Foto da planta ${miss_num}	Plant photo ${miss_num}	Foto de la planta ${miss_num}				
Foto da planta ${miss_num}	Foto da planta ${miss_num}	Plant photo ${miss_num}	Foto de la planta ${miss_num}				
Foto da planta ${miss_num}	Foto da planta ${miss_num}	Plant photo ${miss_num}	Foto de la planta ${miss_num}				
Foto da planta ${miss_num}	Foto da planta ${miss_num}	Plant photo ${miss_num}	Foto de la planta ${miss_num}				
