"tag","quad","dx","dy","gx","gy","fam","gen","epitsp","species","status","data","dap","alt","qindex","subquad","nfuste","arv_key0","arv_key","dbhcm","tagchar"
"20407","G07",9.5,8.4,129.5,148.39999961853,"Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","A","2009-05-27","68","8","5x5","G07quad_5x5",1,"arv_20407","arv_20407.1",6.8,"020407"
"20408","F14",15.2,1.1,115.199999809265,281.100000023842,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-02","89","10","15x0","F14quad_15x0",1,"arv_20408","arv_20408.1",8.9,"020408"
"20409","G07",14.2,9.2,134.199999809265,149.199999809265,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","A","2009-05-27","315","16","10x5","G07quad_10x5",1,"arv_20409","arv_20409.1",31.5,"020409"
"20410","F14",15.8,2.9,115.800000190735,282.900000095367,"Sapotaceae","Manilkara","subsericea","Manilkara subsericea","A","2009-06-02","54","5","15x0","F14quad_15x0",1,"arv_20410","arv_20410.1",5.4,"020410"
"20411","G07",13.3,9.2,133.300000190735,149.199999809265,"Lauraceae","Ocotea","pulchella","Ocotea pulchella","A","2009-05-27","370","15","10x5","G07quad_10x5",1,"arv_20411","arv_20411.1",37,"020411"
"20412","E15",11.1,0.6,91.1000003814697,300.600000023842,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-05-17","142","12","10x0","E15quad_10x0",1,"arv_20412","arv_20412.1",14.2,"020412"
"20413","G07",9.9,12.7,129.89999961853,152.699999809265,"Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","A","2009-05-27","237","14","5x10","G07quad_5x10",1,"arv_20413","arv_20413.1",23.7,"020413"
"20414","E15",11.4,1,91.3999996185303,301,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-05-17","50","7","10x0","E15quad_10x0",1,"arv_20414","arv_20414.1",5,"020414"
"20415","G07",9.7,13.1,129.699999809265,153.10000038147,"Myrtaceae","Psidium","cattleyanum","Psidium cattleyanum","A","2009-05-27","134","13","5x10","G07quad_5x10",1,"arv_20415","arv_20415.1",13.4,"020415"
"20416","E15",11.7,1.3,91.6999998092651,301.299999952316,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-05-17","46","5","10x0","E15quad_10x0",1,"arv_20416","arv_20416.1",4.6,"020416"
"20417","G07",9.6,12.7,129.60000038147,152.699999809265,"Lauraceae","Ocotea","pulchella","Ocotea pulchella","A","2009-05-27","312","15","5x10","G07quad_5x10",1,"arv_20417","arv_20417.1",31.2,"020417"
"20418","E15",14.3,2.4,94.3000001907349,302.400000095367,"Myrtaceae","Eugenia","umbelliflora","Eugenia umbelliflora","A","2009-05-17","70","10","10x0","E15quad_10x0",1,"arv_20418","arv_20418.1",7,"020418"
"20419","G07",9.8,6.3,129.800000190735,146.300000190735,"Sapotaceae","Manilkara","subsericea","Manilkara subsericea","A","2009-05-27","107","11","5x5","G07quad_5x5",1,"arv_20419","arv_20419.1",10.7,"020419"
"20420","E15",14.6,3.2,94.6000003814697,303.200000047684,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-05-17","114","11","10x0","E15quad_10x0",1,"arv_20420","arv_20420.1",11.4,"020420"
"20421","G07",12.1,6.1,132.10000038147,146.099999904633,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-05-27","144","12","10x5","G07quad_10x5",1,"arv_20421","arv_20421.1",14.4,"020421"
"20422","E15",14.6,3.5,94.6000003814697,303.5,"Araliaceae","Schefflera","angustissima","Schefflera angustissima","A","2009-05-17","184","13","10x0","E15quad_10x0",1,"arv_20422","arv_20422.1",18.4,"020422"
"20423","G07",11.9,6.1,131.89999961853,146.099999904633,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-05-27","62","7","10x5","G07quad_10x5",1,"arv_20423","arv_20423.1",6.2,"020423"
"20424","E15",10.4,2.4,90.3999996185303,302.400000095367,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-05-17","67","6","10x0","E15quad_10x0",1,"arv_20424","arv_20424.1",6.7,"020424"
"20425","G07",9.8,16,129.800000190735,156,"Peraceae","Pera","glabrata","Pera glabrata","A","2009-05-27","160","13","5x15","G07quad_5x15",1,"arv_20425","arv_20425.1",16,"020425"
"20426","E15",11.4,4.5,91.3999996185303,304.5,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-05-17","72","12","10x0","E15quad_10x0",1,"arv_20426","arv_20426.1",7.2,"020426"
"20427","G07",9.8,16.8,129.800000190735,156.799999237061,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-05-27","85","9","5x15","G07quad_5x15",1,"arv_20427","arv_20427.1",8.5,"020427"
"20428","E15",13.3,5.1,93.3000001907349,305.099999904633,"Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","A","2009-05-17","75","10","10x5","E15quad_10x5",1,"arv_20428","arv_20428.1",7.5,"020428"
"20429","G07",12.4,16.1,132.39999961853,156.10000038147,"Myrtaceae","Myrcia","multiflora","Myrcia multiflora","A","2009-05-27","97","9","10x15","G07quad_10x15",1,"arv_20429","arv_20429.1",9.7,"020429"
"20430","E15",11,6.5,91,306.5,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-05-17","47; 15","4","10x5","E15quad_10x5",2,"arv_20430","arv_20430.1",4.7,"020430"
"20431","G07",14.5,15.8,134.5,155.800000190735,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-05-27","67","9","10x15","G07quad_10x15",1,"arv_20431","arv_20431.1",6.7,"020431"
"20432","E15",12.2,4.8,92.1999998092651,304.800000190735,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","NE","2009-05-17",NA,NA,"10x0","E15quad_10x0",1,"arv_20432","arv_20432.1",NA,"020432"
"20433","G07",12.2,18.1,132.199999809265,158.10000038147,"Celastraceae","Maytenus","robusta","Maytenus robusta","A","2009-05-27","125; 50","10","10x15","G07quad_10x15",2,"arv_20433","arv_20433.1",12.5,"020433"
"20434","E15",11,9,91,309,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-05-17","112","12","10x5","E15quad_10x5",1,"arv_20434","arv_20434.1",11.2,"020434"
"20435","G07",16.8,18.9,136.799999237061,158.89999961853,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-05-27","60","5","15x15","G07quad_15x15",1,"arv_20435","arv_20435.1",6,"020435"
"20436","E15",14,10.2,94,310.199999809265,"Myrtaceae","Eugenia","umbelliflora","Eugenia umbelliflora","NE","2009-05-17",NA,NA,"10x10","E15quad_10x10",1,"arv_20436","arv_20436.1",NA,"020436"
"20437","G07",7,19.1,127,159.10000038147,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-05-27","87","8","5x15","G07quad_5x15",1,"arv_20437","arv_20437.1",8.7,"020437"
"20438","E15",14.2,10.8,94.1999998092651,310.800000190735,"Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","A","2009-05-17","77","9","10x10","E15quad_10x10",1,"arv_20438","arv_20438.1",7.7,"020438"
"20439","G07",7.6,18.6,127.599999904633,158.60000038147,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-05-27","58; 93","7","5x15","G07quad_5x15",2,"arv_20439","arv_20439.1",5.8,"020439"
"20440","E15",13.1,11.9,93.1000003814697,311.89999961853,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-05-17","60","10","10x10","E15quad_10x10",1,"arv_20440","arv_20440.1",6,"020440"
"20441","G07",5.9,16.9,125.900000095367,156.89999961853,"Peraceae","Pera","glabrata","Pera glabrata","D","2009-05-27",NA,NA,"5x15","G07quad_5x15",1,"arv_20441","arv_20441.1",NA,"020441"
"20442","E15",13.8,11.8,93.8000001907349,311.800000190735,"Lauraceae","Aniba","viridis","Aniba viridis","A","2009-05-17","47","7","10x10","E15quad_10x10",1,"arv_20442","arv_20442.1",4.7,"020442"
"20443","G07",7.6,15.4,127.599999904633,155.39999961853,"Celastraceae","Maytenus","robusta","Maytenus robusta","NE","2009-05-27",NA,NA,"5x15","G07quad_5x15",1,"arv_20443","arv_20443.1",NA,"020443"
"20444","E15",14.3,13.2,94.3000001907349,313.199999809265,"Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","NE","2009-05-17",NA,NA,"10x10","E15quad_10x10",1,"arv_20444","arv_20444.1",NA,"020444"
"20445","G07",8.2,14.5,128.199999809265,154.5,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","A","2009-05-27","317","17","5x10","G07quad_5x10",1,"arv_20445","arv_20445.1",31.7,"020445"
"20446","E15",14.8,14.3,94.8000001907349,314.300000190735,"Myrtaceae","Myrcia","brasiliensis","Myrcia brasiliensis","A","2009-05-17","95","12","10x10","E15quad_10x10",1,"arv_20446","arv_20446.1",9.5,"020446"
"20447","G07",7.8,12.4,127.800000190735,152.39999961853,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","D","2009-05-27",NA,NA,"5x10","G07quad_5x10",1,"arv_20447","arv_20447.1",NA,"020447"
"20448","E15",14.8,14.4,94.8000001907349,314.39999961853,"Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","NE","2009-05-17",NA,NA,"10x10","E15quad_10x10",1,"arv_20448","arv_20448.1",NA,"020448"
"20449","G07",4.6,12.6,124.599999904633,152.60000038147,"Peraceae","Pera","glabrata","Pera glabrata","D","2009-05-27",NA,NA,"0x10","G07quad_0x10",1,"arv_20449","arv_20449.1",NA,"020449"
"20451","G07",3.4,17.6,123.400000095367,157.60000038147,"Sapotaceae","Pouteria","beaurepairei","Pouteria beaurepairei","A","2009-05-27","332","15","0x15","G07quad_0x15",1,"arv_20451","arv_20451.1",33.2,"020451"
"20453","G07",2.8,15.8,122.799999952316,155.800000190735,"Rubiaceae","Cordiera","myrciifolia","Cordiera myrciifolia","A","2009-05-27","75","7","0x15","G07quad_0x15",1,"arv_20453","arv_20453.1",7.5,"020453"
"20454","E15",17.5,14.8,97.5,314.800000190735,"Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","A","2009-05-17","91; 70; 88; 90","10","15x10","E15quad_15x10",4,"arv_20454","arv_20454.1",9.1,"020454"
"20455","G07",1.9,15.8,121.899999976158,155.800000190735,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-05-27","98","9","0x15","G07quad_0x15",1,"arv_20455","arv_20455.1",9.8,"020455"
"20456","F15",0,18.8,100,318.799999237061,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","A","2009-06-03","102","9","0x15","F15quad_0x15",1,"arv_20456","arv_20456.1",10.2,"020456"
"20457","G07",0.6,15.5,120.600000023842,155.5,"Sapotaceae","Manilkara","subsericea","Manilkara subsericea","A","2009-05-27","205","15","0x15","G07quad_0x15",1,"arv_20457","arv_20457.1",20.5,"020457"
"20458","E15",19,18.8,99,318.799999237061,"Meliaceae","Cabralea","canjerana","Cabralea canjerana","A","2009-05-17","53","8","15x15","E15quad_15x15",1,"arv_20458","arv_20458.1",5.3,"020458"
"20459","G07",2.1,9.9,122.099999904633,149.89999961853,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","A","2009-05-27","341","15","0x5","G07quad_0x5",1,"arv_20459","arv_20459.1",34.1,"020459"
"20460","E15",18.4,14.6,98.3999996185303,314.60000038147,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-05-17","296","14","15x10","E15quad_15x10",1,"arv_20460","arv_20460.1",29.6,"020460"
"20461","G07",5.2,9.8,125.199999809265,149.800000190735,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","NE","2009-05-27",NA,NA,"5x5","G07quad_5x5",1,"arv_20461","arv_20461.1",NA,"020461"
"20462","E15",17.8,10.7,97.7999992370605,310.699999809265,"Fabaceae","Andira","anthelmia","Andira anthelmia","NE","2009-05-17",NA,NA,"15x10","E15quad_15x10",1,"arv_20462","arv_20462.1",NA,"020462"
"20463","G07",5.2,5.6,125.199999809265,145.599999904633,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","NE","2009-05-27",NA,NA,"5x5","G07quad_5x5",1,"arv_20463","arv_20463.1",NA,"020463"
"20464","E15",16.5,10.2,96.5,310.199999809265,"Arecaceae","Euterpe","edulis","Euterpe edulis","NE","2009-05-17",NA,NA,"15x10","E15quad_15x10",1,"arv_20464","arv_20464.1",NA,"020464"
"20465","G07",7.4,8.4,127.400000095367,148.39999961853,"Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","A","2009-05-27","130","10","5x5","G07quad_5x5",1,"arv_20465","arv_20465.1",13,"020465"
"20466","E15",17.7,9.7,97.7000007629395,309.699999809265,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-05-17","305","15","15x5","E15quad_15x5",1,"arv_20466","arv_20466.1",30.5,"020466"
"20467","G07",3.9,4.7,123.900000095367,144.699999809265,"Fabaceae","Albizia","pedicellaris","Albizia pedicellaris","A","2009-05-27","337","15","0x0","G07quad_0x0",1,"arv_20467","arv_20467.1",33.7,"020467"
"20468","E15",15.6,9.9,95.6000003814697,309.89999961853,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","NE","2009-05-17",NA,NA,"15x5","E15quad_15x5",1,"arv_20468","arv_20468.1",NA,"020468"
"20469","G07",3.4,2.9,123.400000095367,142.900000095367,"Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","A","2009-05-27","108; 35; 30","11","0x0","G07quad_0x0",3,"arv_20469","arv_20469.1",10.8,"020469"
"20470","E15",15.3,8.6,95.3000001907349,308.60000038147,"Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","A","2009-05-17","118; 83; 110","13","15x5","E15quad_15x5",3,"arv_20470","arv_20470.1",11.8,"020470"
"20471","G07",1.1,9.5,121.100000023842,149.5,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-05-27","97","9","0x5","G07quad_0x5",1,"arv_20471","arv_20471.1",9.7,"020471"
"20472","E15",15.5,5,95.5,305,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","A","2009-05-17","80","10","15x5","E15quad_15x5",1,"arv_20472","arv_20472.1",8,"020472"
"20474","E15",19.9,8.1,99.8999996185303,308.10000038147,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","D","2009-05-17",NA,NA,"15x5","E15quad_15x5",1,"arv_20474","arv_20474.1",NA,"020474"
"20477","I00",1.8,16.3,161.799999952316,16.2999992370605,"Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","A","2009-06-05","85","7","0x15","I00quad_0x15",1,"arv_20477","arv_20477.1",8.5,"020477"
"20478","E15",18.2,3.5,98.2000007629395,303.5,"Peraceae","Pera","glabrata","Pera glabrata","A","2009-05-17",NA,NA,"15x0","E15quad_15x0",1,"arv_20478","arv_20478.1",NA,"020478"
"20479","I00",17,11.9,177,11.8999996185303,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","D","2009-06-05",NA,NA,"15x10","I00quad_15x10",1,"arv_20479","arv_20479.1",NA,"020479"
"20480","E15",17.2,2.6,97.2000007629395,302.599999904633,"Fabaceae","Albizia","pedicellaris","Albizia pedicellaris","A","2009-05-17","632","15","15x0","E15quad_15x0",1,"arv_20480","arv_20480.1",63.2,"020480"
"20481","I00",3.7,13.7,163.700000047684,13.6999998092651,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-05","87","12","0x10","I00quad_0x10",1,"arv_20481","arv_20481.1",8.7,"020481"
"20482","E15",15.6,1.1,95.6000003814697,301.100000023842,"Myrtaceae","Eugenia","sulcata","Eugenia sulcata","A","2009-05-17","52","6","15x0","E15quad_15x0",1,"arv_20482","arv_20482.1",5.2,"020482"
"20483","I00",1.6,10.6,161.600000023842,10.6000003814697,"Myrtaceae","Marlierea","racemosa","Marlierea racemosa","A","2009-06-05","86","7","0x10","I00quad_0x10",1,"arv_20483","arv_20483.1",8.6,"020483"
"20484","E15",15.9,0.5,95.8999996185303,300.5,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-05-17","54","3","15x0","E15quad_15x0",1,"arv_20484","arv_20484.1",5.4,"020484"
"20485","I00",2,10.5,162,10.5,"Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","A","2009-06-05","79","8","0x10","I00quad_0x10",1,"arv_20485","arv_20485.1",7.9,"020485"
"20486","E15",15,0,95,300,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","A","2009-05-17","140; 112; 28","10","15x0","E15quad_15x0",3,"arv_20486","arv_20486.1",14,"020486"
"20488","F15",12.2,19.9,112.199999809265,319.89999961853,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","D","2009-06-03",NA,NA,"10x15","F15quad_10x15",1,"arv_20488","arv_20488.1",NA,"020488"
"20489","I00",0.6,5.9,160.600000023842,5.90000009536743,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-05","80","8","0x5","I00quad_0x5",1,"arv_20489","arv_20489.1",8,"020489"
"20491","I00",0.4,5.3,160.40000000596,5.30000019073486,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-06-05","82","8","0x5","I00quad_0x5",1,"arv_20491","arv_20491.1",8.2,"020491"
"20492","F15",16,2.6,116,302.599999904633,"Fabaceae","Ormosia","arborea","Ormosia arborea","A","2009-06-03","121","10","15x0","F15quad_15x0",1,"arv_20492","arv_20492.1",12.1,"020492"
"20493","I00",1.6,5.8,161.600000023842,5.80000019073486,"Fabaceae","Andira","anthelmia","Andira anthelmia","A","2009-06-05","117","9","0x5","I00quad_0x5",1,"arv_20493","arv_20493.1",11.7,"020493"
"20494","F15",14.5,6,114.5,306,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-06-03","384","20","10x5","F15quad_10x5",1,"arv_20494","arv_20494.1",38.4,"020494"
"20495","I00",3.5,3.9,163.5,3.90000009536743,"Araliaceae","Schefflera","angustissima","Schefflera angustissima","A","2009-06-05","90","10","0x0","I00quad_0x0",1,"arv_20495","arv_20495.1",9,"020495"
"20496","F15",14,6.1,114,306.099999904633,"Peraceae","Pera","glabrata","Pera glabrata","A","2009-06-03","118","17","10x5","F15quad_10x5",1,"arv_20496","arv_20496.1",11.8,"020496"
"20498","F15",15.7,6.5,115.699999809265,306.5,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-06-03","100","8","15x5","F15quad_15x5",1,"arv_20498","arv_20498.1",10,"020498"
"20499","I00",6.5,5.4,166.5,5.40000009536743,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-06-05","110; 18","9","5x5","I00quad_5x5",2,"arv_20499","arv_20499.1",11,"020499"
"20500","F15",14.7,7.7,114.699999809265,307.699999809265,"Sapindaceae","Matayba","guianensis","Matayba guianensis","A","2009-06-03","55","6","10x5","F15quad_10x5",1,"arv_20500","arv_20500.1",5.5,"020500"
"20501","I00",6.5,5.3,166.5,5.30000019073486,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","A","2009-06-05","601","15","5x5","I00quad_5x5",1,"arv_20501","arv_20501.1",60.1,"020501"
"20503","I00",7.8,8.2,167.800000190735,8.19999980926514,"Sapindaceae","Matayba","guianensis","Matayba guianensis","A","2009-06-05","164","12","5x5","I00quad_5x5",1,"arv_20503","arv_20503.1",16.4,"020503"
"20506","F15",14.8,10.4,114.800000190735,310.39999961853,"Peraceae","Pera","glabrata","Pera glabrata","A","2009-06-03","140","17","10x10","F15quad_10x10",1,"arv_20506","arv_20506.1",14,"020506"
"20507","I00",5.3,8.2,165.300000190735,8.19999980926514,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-05","87","10","5x5","I00quad_5x5",1,"arv_20507","arv_20507.1",8.7,"020507"
"20508","F15",14.8,9.9,114.800000190735,309.89999961853,"Lauraceae","Ocotea","aciphylla","Ocotea aciphylla","A","2009-06-03","230","19","10x5","F15quad_10x5",1,"arv_20508","arv_20508.1",23,"020508"
"20509","I00",6.5,11.4,166.5,11.3999996185303,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-06-05","119; 20; 10","10","5x10","I00quad_5x10",3,"arv_20509","arv_20509.1",11.9,"020509"
"20510","F15",10.5,10.8,110.5,310.800000190735,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-06-03","110","9","10x10","F15quad_10x10",1,"arv_20510","arv_20510.1",11,"020510"
"20511","I00",7.8,10.5,167.800000190735,10.5,"Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","A","2009-06-05","82","8","5x10","I00quad_5x10",1,"arv_20511","arv_20511.1",8.2,"020511"
"20512","F15",11.2,13.1,111.199999809265,313.10000038147,"Myrtaceae","Marlierea","racemosa","Marlierea racemosa","A","2009-06-03","55","7","10x10","F15quad_10x10",1,"arv_20512","arv_20512.1",5.5,"020512"
"20514","F15",12.8,18.1,112.800000190735,318.10000038147,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-06-03","129","9","10x15","F15quad_10x15",1,"arv_20514","arv_20514.1",12.9,"020514"
"20515","I00",11.1,7.3,171.10000038147,7.30000019073486,"Sapotaceae","Manilkara","subsericea","Manilkara subsericea","A","2009-06-05","639","15","10x5","I00quad_10x5",1,"arv_20515","arv_20515.1",63.9,"020515"
"20516","F15",12.1,18.4,112.10000038147,318.39999961853,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-06-03","90","7","10x15","F15quad_10x15",1,"arv_20516","arv_20516.1",9,"020516"
"20517","I00",11.8,7.3,171.800000190735,7.30000019073486,"Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","A","2009-06-05","107","10","10x5","I00quad_10x5",1,"arv_20517","arv_20517.1",10.7,"020517"
"20518","F15",13.6,19.6,113.60000038147,319.60000038147,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-06-03","50","5","10x15","F15quad_10x15",1,"arv_20518","arv_20518.1",5,"020518"
"20519","I00",13.3,6.5,173.300000190735,6.5,"Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","A","2009-06-05","86","9","10x5","I00quad_10x5",1,"arv_20519","arv_20519.1",8.6,"020519"
"20520","F15",11.6,19.7,111.60000038147,319.700000762939,"Peraceae","Pera","glabrata","Pera glabrata","A","2009-06-03","170","13","10x15","F15quad_10x15",1,"arv_20520","arv_20520.1",17,"020520"
"20521","I00",8.4,1.7,168.39999961853,1.70000004768372,"Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","A","2009-06-05","184","10","5x0","I00quad_5x0",1,"arv_20521","arv_20521.1",18.4,"020521"
"20522","F15",17.6,17.7,117.60000038147,317.700000762939,"Bignoniaceae","Tabebuia","alba","Tabebuia alba","A","2009-06-03","43; 24","6","15x15","F15quad_15x15",2,"arv_20522","arv_20522.1",4.3,"020522"
"20523","I00",18.8,0.8,178.799999237061,0.800000011920929,"Myrtaceae","Myrcia","multiflora","Myrcia multiflora","A","2009-06-05","68","8","15x0","I00quad_15x0",1,"arv_20523","arv_20523.1",6.8,"020523"
"20525","I00",18.6,1.4,178.60000038147,1.39999997615814,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-05","95","12","15x0","I00quad_15x0",1,"arv_20525","arv_20525.1",9.5,"020525"
"20526","F15",19.3,12.3,119.299999237061,312.300000190735,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","A","2009-06-03","83","5","15x10","F15quad_15x10",1,"arv_20526","arv_20526.1",8.3,"020526"
"20527","I00",18.6,3,178.60000038147,3,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","A","2009-06-05","360","15","15x0","I00quad_15x0",1,"arv_20527","arv_20527.1",36,"020527"
"20529","I00",17.4,3,177.39999961853,3,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-06-05","102; 32; 24","10","15x0","I00quad_15x0",3,"arv_20529","arv_20529.1",10.2,"020529"
"20530","F15",18.7,11.8,118.700000762939,311.800000190735,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-06-03","85","7","15x10","F15quad_15x10",1,"arv_20530","arv_20530.1",8.5,"020530"
"20531","I00",15.9,3.8,175.89999961853,3.79999995231628,"Fabaceae","Albizia","pedicellaris","Albizia pedicellaris","A","2009-06-05","503","14","15x0","I00quad_15x0",1,"arv_20531","arv_20531.1",50.3,"020531"
"20532","F15",18.4,12.2,118.39999961853,312.199999809265,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","A","2009-06-03","58","8","15x10","F15quad_15x10",1,"arv_20532","arv_20532.1",5.8,"020532"
"20533","I00",18.8,3,178.799999237061,3,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","A","2009-06-05","68; 59; 13","7","15x0","I00quad_15x0",3,"arv_20533","arv_20533.1",6.8,"020533"
"20534","F15",15.5,11.1,115.5,311.10000038147,"Myrtaceae","Myrcia","brasiliensis","Myrcia brasiliensis","A","2009-06-03","273","13","15x10","F15quad_15x10",1,"arv_20534","arv_20534.1",27.3,"020534"
"20535","I00",19.5,7.2,179.5,7.19999980926514,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-06-05","151; 65; 35","11","15x5","I00quad_15x5",3,"arv_20535","arv_20535.1",15.1,"020535"
"20536","F15",16,10.1,116,310.10000038147,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-03","80","9","15x10","F15quad_15x10",1,"arv_20536","arv_20536.1",8,"020536"
"20537","I00",16.6,7.2,176.60000038147,7.19999980926514,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-05","91","12","15x5","I00quad_15x5",1,"arv_20537","arv_20537.1",9.1,"020537"
"20538","F15",17.1,10.4,117.10000038147,310.39999961853,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-03","83","9","15x10","F15quad_15x10",1,"arv_20538","arv_20538.1",8.3,"020538"
"20539","I00",16.6,7.6,176.60000038147,7.59999990463257,"Fabaceae","Albizia","pedicellaris","Albizia pedicellaris","D","2009-06-05",NA,NA,"15x5","I00quad_15x5",1,"arv_20539","arv_20539.1",NA,"020539"
"20540","F15",17.8,9.8,117.799999237061,309.800000190735,"Sapotaceae","Pouteria","beaurepairei","Pouteria beaurepairei","A","2009-06-03","67","8","15x5","F15quad_15x5",1,"arv_20540","arv_20540.1",6.7,"020540"
"20541","I00",15.6,9.7,175.60000038147,9.69999980926514,"Myrtaceae","Myrcia","brasiliensis","Myrcia brasiliensis","A","2009-06-05","169","14","15x5","I00quad_15x5",1,"arv_20541","arv_20541.1",16.9,"020541"
"20542","F15",17.4,9.4,117.39999961853,309.39999961853,"Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","A","2009-06-03","95","8","15x5","F15quad_15x5",1,"arv_20542","arv_20542.1",9.5,"020542"
"20543","I00",13.4,11.7,173.39999961853,11.6999998092651,"Sapotaceae","Manilkara","subsericea","Manilkara subsericea","A","2009-06-05","306","15","10x10","I00quad_10x10",1,"arv_20543","arv_20543.1",30.6,"020543"
"20544","F15",18.2,12,118.200000762939,312,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","D","2009-06-03",NA,NA,"15x10","F15quad_15x10",1,"arv_20544","arv_20544.1",NA,"020544"
"20545","I00",12.5,12,172.5,12,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-06-05","78","10","10x10","I00quad_10x10",1,"arv_20545","arv_20545.1",7.8,"020545"
"20546","F15",17.3,7.5,117.299999237061,307.5,"Fabaceae","Andira","anthelmia","Andira anthelmia","A","2009-06-03","87","8","15x5","F15quad_15x5",1,"arv_20546","arv_20546.1",8.7,"020546"
